3,0,236.727951,-2899.721680,182.277725,241.934250,-3079.618164,171.535400,196.938065,-2921.343018,181.762436,317.109955,-2917.833496,177.837677,0.962615,-0.214577,-1.101196,1.306832,-0.476837,-2.068281,1.354516,-0.691414,2.746284,0.691414,-0.524521,-1.776218,-5.811453,7.152557,26.375055,-7.897615,7.152557,34.868717,-8.940697,11.920929,14.752150,-4.768372,4.768372,32.186508
4,0,236.736984,-2899.723389,182.269318,241.946548,-3079.623047,171.518234,196.950729,-2921.349609,181.791382,317.116302,-2917.838623,177.823120,0.903010,-0.166893,-0.840425,1.229346,-0.476837,-1.716614,1.266599,-0.643730,2.893806,0.634789,-0.500679,-1.454353,-5.960464,4.768372,26.077032,-7.748604,0.000000,35.166740,-8.791685,4.768372,14.752150,-5.662441,2.384186,32.186508
5,0,236.745438,-2899.724609,182.263550,241.958069,-3079.626709,171.504562,196.962524,-2921.354980,181.821808,317.122101,-2917.842773,177.811798,0.844896,-0.143051,-0.576675,1.151860,-0.381470,-1.367927,1.178682,-0.548363,3.042817,0.581145,-0.429153,-1.132488,-5.811453,2.384186,26.375055,-7.748604,9.536743,34.868717,-8.791685,9.536743,14.901161,-5.364418,7.152557,32.186508
6,0,236.753296,-2899.725586,182.260406,241.968796,-3079.630371,171.494370,196.973434,-2921.360107,181.853699,317.127441,-2917.846924,177.803696,0.786781,-0.095367,-0.314415,1.072884,-0.357628,-1.019239,1.090765,-0.500679,3.188848,0.533462,-0.405312,-0.810623,-5.811453,4.768372,26.226044,-7.897615,2.384186,34.868717,-8.791685,4.768372,14.603138,-4.768372,2.384186,32.186508
7,0,236.760605,-2899.726074,182.259918,241.978729,-3079.633057,171.487671,196.983444,-2921.364014,181.887039,317.132172,-2917.850586,177.798813,0.730157,-0.047684,-0.049174,0.993907,-0.262260,-0.669062,1.001358,-0.405312,3.334880,0.473857,-0.357628,-0.488758,-5.662441,4.768372,26.524067,-7.897615,9.536743,35.017731,-8.940697,9.536743,14.603138,-5.960464,4.768372,32.186508
8,0,236.767288,-2899.726074,182.262009,241.987915,-3079.635498,171.484451,196.992569,-2921.367676,181.921844,317.136414,-2917.853516,177.797104,0.669062,0.000000,0.208616,0.917912,-0.238419,-0.321865,0.913441,-0.357628,3.479421,0.423193,-0.309944,-0.169873,-6.109476,4.768372,25.779009,-7.599592,2.384186,34.719704,-8.791685,4.768372,14.454126,-5.066395,4.768372,31.888485
9,0,236.773422,-2899.725586,182.266708,241.996277,-3079.637207,171.484711,197.000824,-2921.370117,181.958054,317.140106,-2917.856445,177.798630,0.612438,0.047684,0.470877,0.835955,-0.190735,0.025332,0.825524,-0.238419,3.620982,0.369549,-0.286102,0.151992,-5.662441,4.768372,26.226044,-8.195639,4.768372,34.719704,-8.791685,11.920929,14.156103,-5.364418,2.384186,32.186508
10,0,236.778946,-2899.724609,182.274017,242.003830,-3079.638428,171.488373,197.008194,-2921.371582,181.995651,317.143250,-2917.858643,177.803329,0.552833,0.095367,0.730157,0.755489,-0.119209,0.366569,0.736117,-0.166893,3.759563,0.315905,-0.214577,0.469387,-5.960464,4.768372,25.928020,-8.046627,7.152557,34.123657,-8.940697,7.152557,13.858080,-5.364418,7.152557,31.739473
11,0,236.783875,-2899.723633,182.283890,242.010559,-3079.639160,171.495483,197.014664,-2921.372559,182.034576,317.145844,-2917.860596,177.811157,0.493228,0.119209,0.987947,0.673532,-0.071526,0.710785,0.646710,-0.095367,3.893673,0.259280,-0.190735,0.783801,-5.960464,2.384186,25.779009,-8.195639,4.768372,34.421684,-8.940697,7.152557,13.411045,-5.662441,2.384186,31.441450
12,0,236.788177,-2899.721924,182.296326,242.016464,-3079.639893,171.505936,197.020233,-2921.372803,182.074768,317.147919,-2917.861816,177.822144,0.430644,0.166893,1.242757,0.590086,-0.071526,1.046062,0.557303,-0.023842,4.018843,0.205636,-0.143051,1.098216,-6.258488,4.768372,25.480986,-8.344650,0.000000,33.527611,-8.940697,7.152557,12.516975,-5.364418,4.768372,31.441450
